id,y_true,y_pred,absolute_error
1738199578.812174,116.0,140.57188922298192,24.571889222981923
1738199588.826559,52.0,61.12866809465132,9.128668094651317
1738199598.842686,142.0,142.51668652733716,0.516686527337157
1738199608.857545,192.0,216.21577209994737,24.215772099947372
1738199618.87501,206.0,166.91487055437787,39.08512944562213
1738199628.896785,43.0,61.91745607289509,18.917456072895092
1738199638.915347,49.0,131.09285745922284,82.09285745922284
1738199648.939006,98.0,79.93929115905644,18.060708840943562
1738199658.960681,235.0,169.59506426542373,65.40493573457627
1738199668.98223,104.0,74.6761245641992,29.3238754358008
1738199679.001997,60.0,80.48114670482335,20.481146704823345
1738199689.025687,135.0,103.56520878091511,31.434791219084886
1738199699.048588,70.0,59.373708463489805,10.626291536510195
1738199709.068497,156.0,159.93706843463852,3.937068434638519
1738199719.089425,272.0,239.46228792160946,32.53771207839054
1738199729.109631,109.0,156.8133580599175,47.813358059917505
1738199739.132382,248.0,203.7505820486254,44.249417951374596
1738199749.153317,142.0,142.51668652733716,0.516686527337157
1738199759.174763,96.0,86.3304413412442,9.669558658755804
1738199769.195375,77.0,77.25157679390556,0.25157679390555643
1738199779.217337,72.0,65.39079316230509,6.609206837694913
1738199789.234315,138.0,171.82608717603588,33.826087176035884
1738199799.254543,42.0,80.54657032878035,38.54657032878035
